n,k,u,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t
262144,32,4294946524,31,1,241183339,247277652,244295123,238036257,238296683,247892956,233259865,235572479,253729988,250683492,245556544,240188215,246772923,241572506,235091893,244020965,252438758,247345769,242308283,244767125,236353425,230311790,244128871,232491580,247047754,240412374,231676360,236670089,256922594,252433289,260711496,257256112,260711496
262144,32,4294947160,31,1,212866725,208258588,210960804,215405045,209920005,213130591,220389580,217557991,215261512,212989197,209979691,206983385,208278175,210329658,208017027,215154748,211963242,216406187,219592044,205573269,214910805,224761055,251824917,229369991,235340002,252251518,249534731,246853776,247769697,248425702,251629428,251803412,252251518
262144,32,4294949124,31,1,210981480,233297992,251587122,234850290,246201811,242789441,241552698,237428942,238087589,234675936,255781037,254865137,251233056,250668655,245640191,240283368,258098769,233237634,255532903,234202459,251737123,252234998,248040280,234264379,222573966,249790563,246954451,239583349,231533585,248793296,237783113,259677709,259677709
262144,32,4294958580,31,1,230262352,224611644,227303458,221876597,221541993,229344043,225586792,225579934,228275058,222871972,217809952,220933440,226210185,210734607,206790891,214124113,220141321,217123438,211890050,220451218,225452351,210895930,205427857,198320050,229580371,214605101,228157094,223184640,224246357,210090189,223020613,215539766,230262352
262144,32,4294959305,31,1,238568388,235258535,235809484,231907728,231176568,227959249,234570091,206871276,218177098,238080938,207693104,234952131,233414553,232187608,234254168,224907253,229903078,233021072,211646843,206862433,224409695,241418119,231488039,238961311,245161430,226749804,235059332,241960016,241358156,241284697,229938678,234520749,245161430
262144,32,4294963026,31,1,261121713,258272707,255527279,257146931,267178806,261992291,264469872,258933209,258495573,255155742,257203374,266207609,251330382,262843425,264037693,261758313,257706960,246338245,256612145,251265635,252862184,249256853,263430916,257927186,241646451,272175931,257939807,269410882,253994970,259592287,236983074,252161281,272175931
262144,32,4294963730,31,1,198728826,195942621,201074305,198033478,201061299,204035550,231752267,232111249,227695137,241262262,217511614,223413832,236631558,239515641,225925840,231278355,236173689,228628110,223632419,240798219,241852002,228460618,231266015,233752279,235593811,226185744,233783106,226900356,236227371,223465464,224458660,242109256,242109256
524288,32,4294952966,31,1,221699048,219152964,227839504,224799408,222961023,228471145,211040603,225653207,207341507,220391715,218053079,215258457,221496552,211901609,214876210,208131482,226555969,221711643,220238378,223546883,209547139,221573783,218350161,213984864,234781336,219503300,215517749,228304028,219681413,232194146,225656186,215730759,234781336
524288,32,4294954179,31,1,232608688,229612102,227002933,226008429,205766783,229080436,214966560,225990048,223567799,220493746,230876687,227033243,224136234,221547264,222574694,212219293,208401766,224362253,218802266,217279368,211231711,226996171,220454408,226313443,221090518,219557224,213711385,225864637,219777393,232367458,233070348,218534116,233070348
524288,32,4294954911,31,1,243401567,240386524,238095276,235372741,233201991,234946888,249674612,244226844,242828327,241023381,248015577,240370876,227636380,234229663,238125471,220991440,231714359,237852188,243782388,251174058,247111496,247808663,258671312,256593649,251604931,229244626,239318425,247347402,254188083,243712797,245350127,251076878,258671312
524288,32,4294955326,31,1,199129054,204520967,202604214,202467673,208316830,202749935,195205171,207635086,196386896,195802651,192432901,184605887,190473438,194409711,191454354,200671483,212071907,204973173,200182396,203987899,210227044,200738808,237701429,231656434,241259491,233886163,233102992,240043039,240116714,377800598,393717294,482227630,482227630
524288,32,4294959762,31,1,233720883,231154707,237225683,250416965,245096160,253581935,252979886,248980884,249235213,235615243,247867035,229878764,241953559,245906059,242103137,252285294,256058127,244509562,245063385,254360868,243790262,284962053,284131481,268352251,280286446,262689087,276548958,272957263,276737556,275048616,282098980,284340813,284962053
